name,kind,first_reference,source,english_equivalent,source_form,greek_form,name_meaning,equivalent_source,equivalent_confidence,footnote
Solōmōn,transliterated_form,2 Samuel 8:7,ot,Solomon,Solōmōn,σολομωντος,Peaceable; peaceful,normalized source form,fallback,Standard English equivalent: Solomon. Source form: Solōmōn. Greek form: σολομωντος. Name meaning: Peaceable; peaceful. Equivalent source: normalized source form.
Jehoshaphat,person,2 Samuel 8:16,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Banaias,person,2 Samuel 8:18,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Jehoiada,person,2 Samuel 8:18,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Siba,transliterated_form,2 Samuel 9:2,ot,Ziba,Siba,σιβα,army; fight; strength,manual/standard English equivalent,manual,Standard English equivalent: Ziba. Source form: Siba. Greek form: σιβα. Name meaning: army; fight; strength. Equivalent source: manual/standard English equivalent.
Ladabar,place,2 Samuel 9:4,ot,Lodebar,Ladabar,λαδαβαρ,meaning uncertain/not securely attested in the consulted name dictionaries,UKJV same-reference name-order alignment,aligned,Place-name meaning: Lodebar — meaning uncertain/not securely attested in the consulted name dictionaries. Standard English equivalent: Lodebar. Source form: Ladabar. Greek form: λαδαβαρ. Equivalent source: UKJV same-reference name-order alignment.
Anōn,transliterated_form,2 Samuel 10:1,ot,Hanun,Anōn,αννων,gracious; merciful,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Hanun. Source form: Anōn. Greek form: αννων. Name meaning: gracious; merciful. Equivalent source: UKJV same-reference name-order alignment.
Baithroōb,transliterated_form,2 Samuel 10:6,ot,Bethrehob,Baithroōb,βαιθροωβ,meaning uncertain/not securely attested in the consulted name dictionaries,UKJV same-reference witness,0.67,Standard English equivalent: Bethrehob. Source form: Baithroōb. Greek form: βαιθροωβ. Name meaning: meaning uncertain/not securely attested in the consulted name dictionaries. Equivalent source: UKJV same-reference witness.
Istōb,transliterated_form,2 Samuel 10:6,ot,Ishtob,Istōb,ιστωβ,good man,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Ishtob. Source form: Istōb. Greek form: ιστωβ. Name meaning: good man. Equivalent source: UKJV same-reference name-order alignment.
Rōōb,transliterated_form,2 Samuel 10:8,ot,Rehob,Rōōb,ροωβ,breadth; space; extent,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Rehob. Source form: Rōōb. Greek form: ροωβ. Name meaning: breadth; space; extent. Equivalent source: UKJV same-reference name-order alignment.
Chalamak,place,2 Samuel 10:16,ot,Helam,Chalamak,χαλαμακ,their army; their trouble,UKJV same-reference witness,0.62,Place-name meaning: Helam — their army; their trouble. Standard English equivalent: Helam. Source form: Chalamak. Greek form: χαλαμακ. Equivalent source: UKJV same-reference witness.
Sōbak,transliterated_form,2 Samuel 10:16,ot,Shobach,Sōbak,σωβακ,your bonds; your chains,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Shobach. Source form: Sōbak. Greek form: σωβακ. Name meaning: your bonds; your chains. Equivalent source: UKJV same-reference name-order alignment.
Bathsheba,person,2 Samuel 11:3,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
